"","voyage_id","ship_name","port_origin","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","state"
"861",90961,"Hope","Liverpool","Windward Coast, port unspecified","Charleston",1762,150,"Gillman, John","South Carolina"
"862",90963,"Polly","Liverpool","Senegambia and offshore Atlantic, port unspecified","Rappahannock",1762,222,"Boyd, Robert<br/> Carrol, Hugh","Virginia"
"863",90975,"Lord Pulteney","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1765,213,"Hassey, Peter<br/> Hodgson","South Carolina"
"864",90983,"Briton","Liverpool","Whydah","Rappahannock",1762,180,"Bagshaw, William<br/> Wilson, David","Virginia"
"865",91007,"Upton","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1763,370,"Maxwell, Hugh","South Carolina"
"866",91008,"Charles","Liverpool","Sierra Leone estuary","Charleston",1763,187,"Davies, John","South Carolina"
"867",91010,"Renown","Liverpool","Windward Coast, port unspecified","Upper James River",1763,170,"Pemberton, Samuel","Virginia"
"868",91014,"Captain","Liverpool","Bassa","Charleston",1765,280,"Dobb, Richard","South Carolina"
"869",91029,"Jenny","Liverpool","Whydah","Charleston",1764,292,"McKie, George","South Carolina"
"870",91056,"Marton","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1764,519,"Wilkinson, John","South Carolina"
"871",91059,"Apollo","Liverpool","Gold Coast, port unspecified","Upper James River",1766,197,"Glover, Elias","Virginia"
"872",91085,"True Blue","Liverpool","Benin","Upper James River",1764,361,"Hutton, Joshua","Virginia"
"873",91110,"Hannah","Liverpool","Iles de Los","Puerto Rico, port unspecified",1767,330,"Bainbridge<br/> Dennison, William","Puerto Rico"
